n,x
1,0.79952
2,0.60910
3,0.90477
4,0.32742
5,0.83682
6,0.51889
7,0.94864
8,0.18513
9,0.57326
10,0.92960
11,0.24867
12,0.70997
13,0.78246
14,0.64681
15,0.86810
16,0.43512
17,0.93400
18,0.23423
19,0.68160
20,0.82469
21,0.54940
22,0.94073
23,0.21188
24,0.63456
25,0.88120
26,0.39782
27,0.91032
28,0.31022
29,0.81313
30,0.57740
31,0.92723
32,0.25639
33,0.72449
34,0.75849
35,0.69610
36,0.80387
37,0.59912
38,0.91267
39,0.30288
40,0.80234
41,0.60263
42,0.90997
43,0.31131
44,0.81470
45,0.57366
46,0.92938
47,0.24939
48,0.71134
49,0.78027
50,0.65150
51,0.86279
52,0.44987
53,0.94045
54,0.21281
55,0.63659
56,0.87910
57,0.40387
58,0.91489
59,0.29590
60,0.79170
61,0.62665
62,0.88905
63,0.37485
64,0.89048
65,0.37060
66,0.88637
67,0.38272
68,0.89774
69,0.34887
70,0.86320
71,0.44872
72,0.94001
73,0.21429
74,0.63981
75,0.87572
76,0.41357
77,0.92161
78,0.27452
79,0.75681
80,0.69939
81,0.79893
82,0.61044
83,0.90365
84,0.33085
85,0.84128
86,0.50741
87,0.94979
88,0.18121
89,0.56382
90,0.93452
91,0.23253
92,0.67814
93,0.82941
94,0.53767
95,0.94461
96,0.19883
97,0.60533
98,0.90784
99,0.31792
100,0.82402
